F,51
F,28
F,29
F,27
M,48
M,27
M,59
F,51
F,19
M,30
M,29
F,31
M,20
F,20
F,58
M,41
M,44
M,22
F,26
M,27
M,36
F,52
M,20
F,26
M,24
F,50
M,41
M,59
F,45
F,34
M,51
M,34
F,49
M,34
F,40
F,53
M,39
F,25
M,30
M,31
F,20
F,23
M,30
F,22
F,35
M,35
F,43
M,23
M,53
M,47
F,38
F,52
M,43
F,19
F,23
M,59
M,24
M,38
M,44
M,53
F,26
F,49
F,49
M,31
F,29
F,20
M,22
F,66
F,21
F,53
F,32
M,64
M,39
F,19
F,58
M,24
F,39
M,61
F,50
M,30
M,36
F,19
M,39
M,29
M,27
M,31
M,27
F,21
M,44
M,30
M,39
F,47
M,26
M,24
M,31
M,51
M,19
F,58
F,28
M,21
M,30
F,52
F,39
M,66
M,21
F,22
M,24
M,29
M,43
M,32
M,43
F,20
F,60
F,45
M,19
F,20
F,34
F,21
M,25
F,23
M,50
F,19
M,25
M,61
M,31
F,56
F,19
M,28
M,25
M,28
F,28
M,39
F,24
F,23
F,19
F,24
F,19
M,48
M,31
M,31
F,34
M,47
M,25
M,51
F,24
F,55
F,21
F,19
F,20
F,23
M,26
M,27
F,47
M,22
F,28
F,59
M,30
F,25
F,57
F,25
F,42
M,40
M,34
M,60
F,69
F,50
M,53
M,49
F,20
F,56
F,45
M,19
M,22
M,28
M,19
M,33
F,29
F,19
M,32
F,36
F,24
F,19
F,24
F,31
M,28
F,39
M,49
F,30
M,31
F,20
M,29
M,58
F,23
M,30
F,49
M,27
M,63
F,19
M,24
